  Step,        Time_s,   Time_days,          dt_s, Newton,      Res_norm,    Sw_min,    Sw_max,   P_min_bar,   P_max_bar
     1,        0.0005,    0.000000,        0.0005,      5,  4.432854e-05,  0.100000,  0.100201,      0.9500,      1.0001
     2,        0.0012,    0.000000,        0.0007,      3,  7.281326e-06,  0.100000,  0.100663,      0.9500,      1.0002
     3,        0.0024,    0.000000,        0.0012,      3,  5.527474e-05,  0.100000,  0.101638,      0.9500,      1.0003
     4,        0.0046,    0.000000,        0.0022,      3,  9.063284e-05,  0.100000,  0.103167,      0.9500,      1.0003
     5,        0.0085,    0.000000,        0.0039,      3,  1.143629e-05,  0.100000,  0.105818,      0.9500,      1.0001
     6,        0.0156,    0.000000,        0.0071,      2,  9.595819e-05,  0.100000,  0.110372,      0.9500,      0.9985
